,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
1156,1213,Volkswagen,Polo,2018,"27,408 mi",Petrol,1.2,Ireland,No,2.0,"€15,950"
1157,1214,Land Rover,Range Rover Sport,2014,"92,000 mi",Diesel,4.4,Northern Ireland,No,2.0,"€42,995"
1158,1215,Kia,Rio,2016,"44,000 mi",Diesel,1.1,Ireland,N. Ireland,1.0,"€10,950"
1159,1216,Renault,Captur,2024,15 km,Petrol,1.0,Ireland,No,1.0,"€28,920"
1160,1217,Ford,Fiesta,2015,"76,000 mi",Petrol,1.0,Northern Ireland,No,2.0,"€10,750"
1161,1218,Kia,Sportage,2017,"82,000 mi",Diesel,1.7,Ireland,Unknown,1.0,"€16,950"
1162,1219,BMW,3-Series,2014,"191,000 km",Diesel,2.0,Ireland,UK,2.0,"€11,000"
1163,1220,Volvo,XC60,2015,"200,000 km",Diesel,2.0,Ireland,UK,2.0,"€13,999"
1164,1221,Ford,Fiesta,2020,"49,090 mi",Petrol,1.0,Ireland,No,1.0,"€19,950"
1165,1222,Kia,Optima,2018,"99,499 km",Diesel,1.7,Ireland,No,1.0,"€21,950"
1166,1224,Volkswagen,Tiguan,2015,"108,923 mi",Diesel,2.0,Ireland,No,2.0,"€14,995"
1167,1225,Ford,Focus,2014,"120,000 mi",Diesel,1.6,Ireland,UK,2.0,"€8,950"
1168,1227,Ford,Fiesta,2015,"100,105 km",Petrol,1.0,Ireland,No,2.0,"€10,495"
1169,1229,Hyundai,Tucson,2016,"112,000 km",Diesel,1.7,Ireland,No,2.0,"€16,999"
1170,1230,Volkswagen,Golf,2015,"69,000 km",Petrol,1.6,Ireland,Unknown,1.0,"€13,950"
1171,1232,Mercedes-Benz,GLA-Class,2021,"35,948 km",Diesel,2.0,Ireland,No,1.0,"€45,945"
1172,1233,SEAT,Tarraco,2022,"41,014 km",Diesel,2.0,Ireland,No,1.0,"€49,895"
1173,1234,Hyundai,IONIQ 5,2023,"14,000 km",Electric,1.6,Ireland,No,1.0,"€52,995"
1174,1235,Skoda,Octavia,2021,"46,750 km",Petrol,1.0,Ireland,No,2.0,"€25,495"
1175,1236,Ford,KA,2017,"49,000 km",Petrol,1.2,Ireland,No,2.0,"€10,749"
1176,1237,Nissan,Qashqai,2018,"140,000 mi",Diesel,1.5,Ireland,No,2.0,"€12,900"
1177,1238,Toyota,Avensis,2013,"167,629 mi",Diesel,2.0,Ireland,UK,1.0,"€6,950"
1178,1239,BMW,3-Series,2011,"196,000 mi",Diesel,2.0,Ireland,UK,8.0,"€4,000"
1179,1241,Volkswagen,Caddy,2016,"58,000 mi",Diesel,2.0,United Kingdom,No,1.0,"£9,995"
1180,1242,SEAT,Ibiza,2021,"97,724 km",Petrol,1.0,Ireland,No,1.0,"€17,999"
1181,1243,Toyota,Avensis,2016,"61,000 mi",Diesel,1.6,Ireland,UK,1.0,"€13,900"
1182,1244,Audi,A3,2019,"100,365 km",Diesel,1.6,Ireland,No,2.0,€1
1183,1245,Volkswagen,Golf,2019,"39,000 km",Petrol,1.2,Ireland,No,2.0,"€23,900"
1184,1246,Mazda,Demio,2013,"88,000 km",Petrol,1.3,Ireland,Unknown,1.0,"€8,950"
1185,1247,Nissan,Leaf,2018,"50,538 mi",Electric,1.6,Ireland,Unknown country,2.0,"€14,950"
1186,1248,Ford,Focus,2013,"147,767 mi",Diesel,1.6,Ireland,UK,1.0,"€7,950"
1187,1249,BMW,7-Series,2016,"133,000 km",Diesel,3.0,Ireland,UK,4.0,"€34,999"
1188,1250,Ford,Kuga,2016,"153,523 km",Diesel,2.0,Ireland,No,3.0,"€15,900"
1189,1251,SEAT,MII,2013,"126,000 km",Petrol,1.0,Ireland,No,1.0,"€6,950"
1190,1252,Volkswagen,ID.3,2024,4 km,Electric,1.6,Ireland,No,2.0,"€35,400"
1191,1253,Mercedes-Benz,B-Class,2017,"15,105 mi",Petrol,1.6,Ireland,No,2.0,"€19,950"
1192,1254,Mini,Cooper,2010,"260,000 km",Diesel,1.6,Ireland,UK,4.0,"€3,500"
1193,1255,BMW,5-Series,2015,"110,000 mi",Diesel,2.0,Northern Ireland,No,3.0,"£12,250"
1194,1256,Mercedes-Benz,GLC-Class,2022,"33,632 km",Diesel,2.0,Ireland,No,1.0,"€65,850"
1195,1257,Toyota,Corolla,2018,"115,879 km",Petrol,1.5,Ireland,No,1.0,"€13,990"
1196,1258,Mercedes-Benz,E-Class,2021,"61,100 km",Diesel,2.0,Ireland,No,1.0,"€53,950"
1197,1259,Hyundai,IONIQ 5,2023,"7,900 km",Electric,1.6,Ireland,No,1.0,"€44,950"
1198,1260,Toyota,Yaris,2015,"75,000 km",Petrol,1.0,Ireland,Unknown country,1.0,"€9,900"
1199,1261,Ford,Focus,2015,"143,000 km",Petrol,1.0,Ireland,No,3.0,"€10,995"
1200,1262,Ford,Mondeo,2014,"271,436 km",Diesel,1.6,Ireland,No,3.0,"€7,450"
1201,1263,Volkswagen,Polo,2014,"24,000 mi",Petrol,1.2,Ireland,Unknown country,1.0,"€11,990"
1202,1264,Nissan,Note,2017,"130,457 km",Petrol Hybrid,1.2,Ireland,Unknown country,2.0,"€11,750"
1203,1265,Vauxhall,Insignia,2011,"118,000 mi",Diesel,2.0,Ireland,UK,11.0,"€4,295"
1204,1266,Volkswagen,Polo,2019,"17,459 km",Petrol,1.0,Ireland,No,2.0,"€17,950"
1205,1267,BMW,iX1,2024,1 km,Electric,1.6,Ireland,No,2.0,"€60,725"
1206,1268,Volkswagen,Golf,2014,"68,000 km",Petrol,2.0,Ireland,Unknown country,1.0,"€18,950"
1207,1269,Land Rover,Range Rover Evoque,2014,"123,000 mi",Diesel,2.2,Ireland,No,4.0,"€16,950"
1208,1270,Volkswagen,Passat,2016,"99,784 km",Petrol,1.4,Ireland,Unknown,1.0,"€18,950"
1209,1271,Volvo,S60,2015,"175,000 mi",Diesel,1.6,Ireland,UK,2.0,"€8,000"
1210,1272,BMW,3-Series,2012,"170,000 mi",Diesel,2.0,Ireland,No,3.0,"€6,250"
1211,1273,BMW,5-Series,2019,"240,000 km",Diesel,2.0,Ireland,No,2.0,"€25,950"
1212,1274,BMW,2-Series,2016,"69,595 mi",Diesel,2.0,Ireland,No,2.0,"€18,945"
1213,1275,Ford,KA,2011,"170,000 km",Petrol,1.2,Ireland,No,5.0,"€3,950"
1214,1276,Honda,Fit,2014,"94,000 km",Petrol Hybrid,1.6,Ireland,Unknown,0.0,"€9,990"
1215,1277,Ford,Galaxy,2018,"126,711 km",Diesel,2.0,Ireland,UK,1.0,"€27,950"
1216,1278,Citroen,C4,2014,"165,909 km",Diesel,1.6,Ireland,UK,1.0,"€9,950"
1217,1279,Skoda,Superb,2019,"132,714 mi",Diesel,2.0,Ireland,No,1.0,"€19,950"
1218,1280,Hyundai,i30,2015,"126,000 mi",Diesel,1.6,Ireland,UK,2.0,"€9,400"
1219,1281,Toyota,Yaris,2013,"81,000 km",Petrol,1.0,Ireland,Unknown,1.0,"€8,450"
1220,1282,Skoda,Octavia,2017,"80,780 mi",Petrol,1.0,Ireland,No,1.0,"€12,950"
1221,1283,Hyundai,i30,2016,"66,450 mi",Diesel,1.6,Ireland,N. Ireland,1.0,"€13,950"
1222,1284,Volkswagen,Arteon,2024,0 km,Diesel,2.0,Ireland,No,2.0,"€61,640"
1223,1285,Volkswagen,Up!,2014,"97,999 km",Petrol,1.0,Ireland,Unknown country,1.0,"€7,900"
1224,1286,Mercedes-Benz,E-Class,2018,"72,700 mi",Diesel,2.0,Ireland,UK,3.0,"€25,000"
1225,1287,Toyota,Auris,2015,"130,000 mi",Diesel,1.4,Ireland,UK,2.0,"€9,500"
1226,1288,Volkswagen,Golf,2012,"180,000 km",Diesel,1.6,Ireland,UK,2.0,"€6,450"
1227,1289,SEAT,Ibiza,2024,18 km,Petrol,1.0,Ireland,No,2.0,"€27,650"
1228,1290,Volvo,XC90,2016,"120,100 km",Diesel,2.0,Ireland,No,3.0,"€39,950"
1229,1291,Ford,Fiesta,2009,"223,468 km",Diesel,1.4,Ireland,No,7.0,"€3,850"
1230,1292,Skoda,Octavia,2015,"160,000 km",Diesel,1.6,Ireland,No,1.0,"€8,999"
1231,1293,Hyundai,KONA,2019,"118,000 km",Petrol,1.0,Ireland,No,1.0,"€16,888"
1232,1294,Hyundai,i10,2016,"52,000 mi",Petrol,1.0,Ireland,No,1.0,"€8,999"
1233,1295,Ford,Transit Custom,2017,"59,535 km",Diesel,2.0,Other,No,1.0,"€24,950"
1234,1296,Ford,Kuga,2020,"59,950 km",Diesel,1.5,Ireland,No,1.0,"€30,950"
1235,1297,BMW,5-Series,2012,"1,000 mi",Diesel,2.0,Ireland,No,3.0,"€1,000"
1236,1298,Kia,Sorento,2021,"21,409 km",Petrol Plug-in Hybrid,1.6,Ireland,Unknown,1.0,"€47,995"
1237,1299,Toyota,Aqua,2017,"124,999 km",Petrol Hybrid,1.5,Ireland,Unknown country,2.0,"€10,950"
1238,1300,Toyota,Auris,2008,"145,000 mi",Diesel,1.4,Ireland,N. Ireland,3.0,"€1,234"
1239,1301,Kia,Ceed,2014,"186,000 km",Diesel,1.4,Ireland,No,3.0,"€6,500"
1240,1302,Mercedes-Benz,E-Class,2017,"145,000 km",Diesel,2.0,Ireland,No,4.0,"€28,950"
1241,1303,Volkswagen,Passat,2012,"87,454 mi",Diesel,2.0,Ireland,UK,2.0,"€9,950"
1242,1304,Kia,Niro,2017,"114,000 km",Petrol Hybrid,1.6,Ireland,No,3.0,"€18,990"
1243,1305,SEAT,Ateca,2020,"101,380 km",Petrol,1.0,Ireland,No,2.0,"€23,950"
1244,1306,Audi,A4,2018,"225,100 km",Diesel,2.0,Ireland,No,1.0,"€18,950"
1245,1307,Volkswagen,Golf,2015,"50,053 mi",Petrol,1.4,Ireland,No,1.0,"€17,250"
1246,1308,Nissan,Qashqai,2022,"35,528 km",Petrol,1.3,Ireland,No,1.0,"€39,950"
1247,1309,Jaguar,XF,2018,"123,938 km",Diesel,2.0,Ireland,No,3.0,"€21,950"
1248,1310,Nissan,Qashqai,2022,"26,295 km",Petrol,1.3,Ireland,No,1.0,"€33,995"
1249,1311,Citroen,Berlingo,2020,"60,300 km",Diesel,1.5,Ireland,No,1.0,"€13,950"
1250,1312,Volkswagen,Golf,2014,"179,000 mi",Diesel,2.0,Ireland,UK,3.0,"€10,950"
1251,1313,BMW,5-Series,2007,"220,000 km",Diesel,2.0,Ireland,No,7.0,"€4,150"
1252,1314,Volkswagen,Golf,2019,"56,650 km",Petrol,1.0,Ireland,No,2.0,"€24,900"
1253,1315,Dacia,Duster,2020,"90,527 km",Diesel,1.5,Ireland,No,3.0,"€20,995"
1254,1316,Audi,A6,2015,"198,000 km",Diesel,2.0,Ireland,UK,1.0,"€18,999"
1255,1317,Jeep,Cherokee,2008,"170,000 km",Diesel,3.0,Ireland,No,1.0,"€6,500"
1256,1318,Nissan,Note,2014,"97,000 km",Petrol,1.2,Ireland,Unknown country,2.0,"€8,999"
1257,1319,BMW,1-Series,2016,"109,000 km",Diesel,1.5,Ireland,UK,1.0,"€13,999"
1258,1320,Ford,Fiesta,2014,"92,609 mi",Petrol,1.0,Ireland,UK,2.0,"€7,250"
1259,1321,Volkswagen,CC,2015,"145,000 mi",Diesel,2.0,Ireland,UK,2.0,"€10,500"
1260,1322,Audi,A3,2014,"124,000 mi",Diesel,2.0,Ireland,UK,1.0,"€14,990"
1261,1324,BMW,6-Series,2005,"118,000 mi",Petrol,3.0,Ireland,No,5.0,"€3,995"
1262,1325,Peugeot,207,2008,"79,467 mi",Petrol,1.4,Ireland,No,3.0,"€2,650"
1263,1326,Mercedes-Benz,CLA-Class,2016,"119,000 km",Petrol,1.6,Ireland,Unknown country,3.0,"€17,950"
1264,1327,Hyundai,i20,2024,5 km,Petrol,1.2,Ireland,No,2.0,"€28,545"
1265,1328,Audi,A6,2016,"214,000 km",Diesel,2.0,Ireland,UK,1.0,"€19,950"
1266,1329,Mercedes-Benz,A-Class,2014,"61,209 mi",Petrol,1.6,Ireland,No,1.0,"€15,950"
1267,1330,Mercedes-Benz,A-Class,2020,"77,500 km",Diesel,1.5,Ireland,No,2.0,"€27,875"
1268,1331,BMW,Other,2017,"131,486 km",Diesel,2.0,Ireland,No,1.0,"€21,950"
1269,1332,Ford,Focus,2011,"144,000 mi",Diesel,1.6,Ireland,N. Ireland,2.0,"€5,500"
1270,1333,Toyota,Vitz,2019,"41,651 km",Petrol,1.0,Ireland,No,2.0,"€14,888"
1271,1334,Mercedes-Benz,EQE,2023,"2,425 km",Electric,1.6,Ireland,No,2.0,"€65,750"
1272,1335,BMW,X5,2021,"53,235 km",Petrol Plug-in Hybrid,3.0,Ireland,No,2.0,"€72,950"
1273,1336,Hyundai,Santa Fe,2010,"180,000 mi",Diesel,2.2,Ireland,No,3.0,"€3,599"
1274,1337,Opel,Crossland X,2019,"23,961 km",Petrol,1.2,Ireland,No,2.0,"€17,550"
1275,1338,Volkswagen,Golf,2009,"199,000 km",Petrol,2.0,Ireland,No,5.0,"€7,950"
1276,1339,Nissan,Note,2018,"53,522 mi",Hybrid,1.2,Ireland,No,2.0,"€14,450"
1277,1341,Hyundai,KONA,2023,"6,617 km",Petrol Hybrid,1.6,Ireland,No,1.0,"€38,450"
1278,1342,Honda,Accord,2008,"243,000 km",Diesel,2.2,Ireland,No,3.0,"€2,750"
1279,1343,Volkswagen,Polo,2018,"69,000 km",Petrol,1.0,Ireland,No,2.0,"€15,950"
1280,1344,Volkswagen,Polo,2016,"67,729 mi",Petrol,1.8,Ireland,No,2.0,"€17,950"
1281,1345,BMW,X5,2016,"170,999 km",Diesel,2.0,Ireland,UK,3.0,"€33,750"
1282,1346,Opel,Crossland X,2021,"22,500 mi",Petrol,1.2,Ireland,No,2.0,"€19,950"
1283,1347,BMW,3-Series,2020,"74,000 mi",Petrol Plug-in Hybrid,2.0,United Kingdom,No,1.0,"€34,995"
1284,1348,Skoda,Kodiaq,2019,"174,341 km",Diesel,2.0,Ireland,No,1.0,"€32,950"
1285,1350,Lexus,RX,2010,"190,000 km",Petrol Hybrid,3.5,Ireland,No,3.0,"€13,750"
1286,1351,BMW,2-Series,2023,"5,671 km",Petrol,1.5,Ireland,No,2.0,"€40,950"
1287,1352,Peugeot,Partner,2018,"18,200 km",Diesel,1.6,Ireland,No,2.0,"€21,950"
1288,1353,Volkswagen,Golf,2016,"157,000 km",Diesel,1.6,Ireland,UK,1.0,"€14,950"
1289,1354,Kia,Sportage,2021,"93,001 km",Diesel Hybrid,1.6,Ireland,No,2.0,"€29,950"
1290,1355,Toyota,Vitz,2015,"61,399 mi",Petrol Hybrid,1.3,Ireland,Unknown,0.0,"€10,750"
1291,1356,Fiat,Ducato,2009,"59,000 km",Diesel,2.3,Ireland,No,2.0,"€59,950"
1292,1357,Toyota,Landcruiser,2016,"240,000 km",Diesel,2.8,Ireland,N. Ireland,1.0,€0
1293,1359,SEAT,Toledo,2016,"110,000 km",Diesel,1.4,Ireland,No,2.0,"€10,950"
1294,1360,Jaguar,XJ,2003,"87,888 mi",Petrol,4.2,Ireland,No,4.0,"€16,950"
1295,1362,Peugeot,308,2012,"149,467 mi",Diesel,1.6,Ireland,N. Ireland,3.0,"€4,350"
1296,1363,Volkswagen,Touareg,2019,"58,452 mi",Diesel,3.0,United Kingdom,No,2.0,"£34,750"
1297,1364,Toyota,RAV4,2018,"132,600 km",Diesel,2.0,Ireland,No,1.0,"€23,500"
1298,1365,Volvo,V40,2014,"107,000 mi",Diesel,1.6,Ireland,UK,1.0,"€11,950"
1299,1366,Mini,ONE,2013,"110,861 km",Diesel,1.6,Ireland,No,0.0,€0
1300,1367,Kia,Sportage,2017,"119,824 mi",Diesel,1.7,United Kingdom,No,1.0,"€17,950"
1301,1368,Volkswagen,Polo,2018,"36,883 mi",Petrol,1.0,Ireland,No,2.0,"€17,450"
1302,1369,Mercedes-Benz,CLS-Class,2016,"78,000 km",Diesel,2.1,Ireland,UK,1.0,"€28,995"
1303,1370,Audi,A1,2016,"54,993 mi",Petrol,1.0,Ireland,No,1.0,"€16,450"
1304,1371,Citroen,C3,2016,"60,000 km",Diesel,1.6,Ireland,No,3.0,"€9,200"
1305,1372,Toyota,Yaris,2023,"6,000 km",Hybrid,1.5,Ireland,No,1.0,"€27,950"
1306,1373,Honda,Fit,2015,"50,000 mi",Petrol Hybrid,1.5,Ireland,Unknown,1.0,"€11,699"
1307,1374,Peugeot,5008,2020,"83,000 mi",Diesel,1.5,Northern Ireland,No,1.0,"€24,995"
1308,1375,Citroen,C4,2016,"132,000 km",Diesel,1.6,Ireland,No,2.0,"€12,950"
1309,1376,Mercedes-Benz,GLC-Class,2019,"76,500 km",Diesel,2.1,Ireland,No,1.0,"€40,950"
1310,1377,Volkswagen,Passat,2018,"130,000 km",Diesel,2.0,Ireland,UK,1.0,"€24,500"
1311,1378,Other,Other,1983,"145,000 mi",Petrol,2.3,Ireland,Unknown country,5.0,"€2,800"
1312,1379,Volvo,V40,2013,"156,154 km",Petrol,1.6,Ireland,Unknown country,2.0,"€12,950"
1313,1380,Volkswagen,Golf,2013,"272,902 km",Diesel,1.6,Ireland,No,6.0,"€8,300"
1314,1381,Kia,Sportage,2017,"55,000 mi",Diesel,1.7,Northern Ireland,No,1.0,"€20,950"
1315,1382,Audi,A3,2016,"9,636 mi",Petrol,1.4,Ireland,No,2.0,"€18,950"
1316,1383,Land Rover,Defender,2015,"64,000 mi",Diesel,2.2,Ireland,N. Ireland,2.0,"€34,000"
1317,1384,BMW,2-Series,2024,501 km,Petrol,1.5,Ireland,No,2.0,"€49,450"
1318,1385,Jaguar,XF,2017,"123,000 mi",Diesel,2.0,Ireland,UK,3.0,"€17,250"
1319,1386,Audi,A5,2017,"164,000 km",Diesel,2.0,Ireland,UK,2.0,"€23,000"
1320,1387,Ford,Focus,2016,"106,000 mi",Diesel,1.5,Ireland,UK,1.0,"€11,950"
1321,1388,Volkswagen,Golf,2019,"43,999 km",Petrol,1.0,Ireland,No,2.0,"€22,950"
1322,1389,Opel,Insignia,2018,"128,452 km",Diesel,1.6,Ireland,No,2.0,"€13,650"
1323,1390,BMW,3-Series,2013,"235,000 mi",Diesel,2.0,Ireland,UK,4.0,"€7,500"
1324,1391,Kia,Sportage,2013,"173,866 mi",Diesel,1.7,Ireland,No,4.0,"€6,950"
1325,1392,Skoda,Fabia,2018,"86,000 km",Petrol,1.0,Ireland,No,1.0,"€12,995"
1326,1393,Mercedes-Benz,E-Class,2014,"122,000 mi",Diesel,2.1,Ireland,UK,2.0,"€16,950"
1327,1394,Renault,Fluence,2011,"220,000 km",Diesel,1.5,Ireland,No,2.0,"€4,499"
1328,1396,Audi,Q4 e-tron,2024,"2,500 km",Electric,1.6,Ireland,No,2.0,"€65,900"
1329,1397,Audi,A3,2015,"70,000 km",Petrol,1.4,Ireland,No,1.0,"€15,950"
1330,1398,Toyota,C-HR,2018,"39,000 km",Petrol,1.2,Ireland,No,2.0,"€19,900"
1331,1399,Audi,A4,2024,99 km,Diesel,2.0,Ireland,No,2.0,"€56,575"
1332,1400,BMW,5-Series,2016,"67,000 mi",Diesel,2.0,Ireland,UK,1.0,"€21,000"
1333,1401,Volkswagen,Golf,2015,"91,342 mi",Petrol,1.2,Other,No,1.0,"€13,800"
1334,1402,Honda,Civic,2012,"161,999 km",Petrol,1.3,Ireland,No,3.0,"€7,850"
1335,1403,Toyota,Vitz,2017,"69,000 km",Petrol Hybrid,1.5,Ireland,Unknown country,1.0,"€11,950"
1336,1404,Toyota,Auris,2012,"1,000 mi",Diesel,1.4,Ireland,No,3.0,"€1,000"
1337,1405,Renault,Arkana,2022,"53,019 km",Petrol,1.4,Ireland,No,1.0,"€30,995"
1338,1406,Audi,TT,2008,"82,000 mi",Petrol,2.0,Ireland,Unknown,2.0,"€8,500"
1339,1407,Volkswagen,Golf,2014,"150,000 mi",Diesel,2.0,Ireland,UK,1.0,"€12,000"
1340,1408,Skoda,Octavia,2021,"80,889 km",Diesel,2.0,Ireland,Unknown,1.0,"€23,950"
1341,1409,Toyota,Corolla,2020,"43,639 mi",Petrol Hybrid,1.8,United Kingdom,No,1.0,"€22,885"
1342,1411,Toyota,Corolla,2021,"79,864 km",Petrol Hybrid,1.8,Ireland,No,1.0,"€22,950"
1343,1412,Audi,A3,2014,"142,671 km",Petrol,1.4,Ireland,Unknown country,2.0,"€14,900"
1344,1413,Opel,Insignia,2013,"131,000 mi",Diesel,2.0,Ireland,No,5.0,"€4,900"
1345,1414,Volkswagen,Golf,2015,"130,000 mi",Diesel,2.0,Ireland,UK,7.0,"€16,900"
1346,1415,Volkswagen,Polo,2020,"40,000 km",Petrol,1.0,Ireland,No,1.0,"€18,950"
1347,1416,Renault,Laguna,2010,"142,000 km",Diesel,1.5,Ireland,No,6.0,"€3,400"
1348,1417,Toyota,Yaris,2013,"215,000 km",Diesel,1.4,Ireland,No,4.0,"€6,199"
1349,1419,Audi,A3,2015,"52,254 mi",Petrol,1.4,Ireland,Unknown country,1.0,"€16,900"
1350,1420,Hyundai,ix35,2012,"1,000 mi",Diesel,1.7,Ireland,No,2.0,"€1,000"
1351,1421,Citroen,C5 Aircross,2021,"53,265 km",Diesel,1.5,Ireland,No,2.0,"€31,950"
1352,1422,Land Rover,Discovery Sport,2017,"163,020 km",Diesel,2.0,Ireland,UK,1.0,"€25,850"
1353,1423,Toyota,Vitz,2014,"47,620 mi",Petrol,1.0,Ireland,Unknown country,1.0,"€8,999"
1354,1424,Mercedes-Benz,EQC,2021,"24,000 km",Electric,1.6,Ireland,No,2.0,"€53,495"
1355,1425,Ford,Mondeo,2020,"97,000 mi",Diesel,2.0,United Kingdom,No,1.0,€0
1356,1426,Hyundai,i20,2023,"15,089 km",Petrol,1.2,Ireland,No,1.0,"€21,945"
1357,1427,Nissan,ARIYA,2022,"39,500 km",Electric,1.6,Ireland,No,1.0,"€47,395"
1358,1428,Skoda,Kodiaq,2022,"72,950 km",Diesel,2.0,Ireland,No,1.0,"€46,950"
1359,1429,Citroen,C3 Picasso,2010,170 mi,Diesel,1.6,Ireland,UK,1.0,"€3,995"
1360,1430,Mercedes-Benz,GLC-Class,2020,"80,621 km",Diesel,2.0,Ireland,UK,1.0,"€47,950"
1361,1431,Audi,A1,2014,"45,200 km",Petrol,1.4,Ireland,No,2.0,"€13,950"
1362,1432,Audi,A3,2024,"2,500 km",Diesel,2.0,Ireland,No,1.0,"€37,900"
1363,1434,Skoda,Octavia,2019,"197,028 km",Diesel,1.6,Ireland,No,1.0,"€14,950"
1364,1435,Honda,Fit,2015,"67,500 mi",Petrol Hybrid,1.5,Ireland,Unknown country,1.0,"€9,499"
1365,1436,Ford,Focus,2018,"94,000 km",Diesel,1.5,Ireland,N. Ireland,1.0,"€17,950"
1366,1437,Renault,Clio,2017,"111,068 km",Petrol,1.1,Ireland,No,3.0,"€10,950"
1367,1438,Tesla,Model Y,2023,"18,145 km",Electric,1.6,Ireland,No,1.0,"€39,750"
1368,1439,Peugeot,3008,2012,"111,120 mi",Diesel,1.6,Ireland,UK,2.0,"€4,250"
1369,1440,Honda,Fit,2015,"70,000 mi",Petrol Hybrid,1.5,Ireland,Unknown country,1.0,"€10,500"
1370,1441,Audi,A3,2019,"68,996 km",Petrol,1.4,Ireland,No,1.0,"€28,950"
1371,1442,Mercedes-Benz,EQB,2024,20 km,Electric,1.6,Ireland,No,2.0,"€73,049"
1372,1443,Mercedes-Benz,CLA-Class,2022,"11,900 mi",Petrol Plug-in Hybrid,1.3,United Kingdom,No,1.0,"€42,950"
1373,1444,Mitsubishi,Lancer,2011,"257,312 km",Diesel,1.8,Ireland,No,3.0,"€1,999"
1374,1445,BMW,3-Series,2012,"158,000 mi",Diesel,2.0,Ireland,UK,2.0,"€9,950"
1375,1446,Renault,Zoe,2019,"54,999 km",Electric,1.6,Ireland,No,3.0,"€17,950"
1376,1447,Subaru,Impreza,2002,"123,219 km",Petrol,2.1,Ireland,UK,1.0,"€32,995"
1377,1448,Peugeot,208,2014,"82,000 km",Petrol,1.0,Ireland,No,3.0,"€6,550"
1378,1449,Nissan,Qashqai,2013,"115,000 mi",Diesel,1.5,Ireland,UK,2.0,"€7,995"
1379,1450,Jaguar,XE,2019,"112,000 km",Diesel,2.0,Ireland,No,2.0,"€23,995"
1380,1451,Skoda,Octavia,2016,"198,000 km",Diesel,2.0,Ireland,No,2.0,"€14,450"
1381,1452,Volkswagen,Golf,2016,"94,383 mi",Diesel,1.6,Ireland,UK,1.0,"€15,995"
1382,1453,Toyota,Celica,2000,"144,000 mi",Petrol,1.8,Ireland,No,3.0,"€2,200"
1383,1454,Ford,S-MAX,2013,"167,000 mi",Diesel,1.6,Ireland,UK,1.0,"€6,950"
1384,1455,Renault,Megane,2018,"106,000 km",Diesel,1.5,Ireland,No,2.0,"€17,950"
1385,1456,Audi,A3,2016,"24,553 mi",Petrol,1.4,Ireland,No,1.0,"€20,950"
1386,1457,Toyota,Landcruiser,2006,"355,000 km",Diesel,3.0,Ireland,No,9.0,"€7,500"
1387,1458,Volkswagen,ID.4,2023,0 km,Electric,1.6,Ireland,No,1.0,"€30,000"
1388,1459,Skoda,Superb,2023,"14,650 km",Diesel,2.0,Ireland,No,1.0,"€48,950"
1389,1460,Toyota,Landcruiser,2000,"91,837 mi",Diesel,3.0,Northern Ireland,No,2.0,"€15,950"
1390,1461,Opel,Corsa,2014,"99,000 mi",Petrol,1.0,Ireland,No,2.0,"€7,995"
1391,1462,Volkswagen,Golf,2024,4 km,Diesel,2.0,Ireland,No,2.0,"€40,875"
1392,1463,SEAT,Altea,2004,"128,101 mi",Petrol,1.6,Ireland,No,1.0,€995
1393,1464,Land Rover,Range Rover,2022,"14,000 mi",Petrol Plug-in Hybrid,3.0,Ireland,UK,1.0,"€129,950"
1394,1465,Peugeot,2008,2019,"80,000 km",Petrol,1.2,Ireland,No,2.0,"€15,900"
1395,1466,Peugeot,5008,2012,"140,000 mi",Diesel,1.6,Ireland,UK,3.0,"€5,000"
1396,1467,Volkswagen,Golf,2015,"138,400 km",Petrol,1.4,Ireland,No,2.0,"€14,950"
1397,1468,Citroen,C4,2017,"149,000 mi",Diesel,1.6,Ireland,No,4.0,"€9,400"
1398,1469,Fiat,500,2012,"53,000 mi",Petrol,1.2,Ireland,N. Ireland,2.0,"€5,995"
1399,1470,Volkswagen,Jetta,2017,"151,000 km",Diesel,2.0,Ireland,No,1.0,"€13,500"
1400,1472,BMW,3-Series,2011,"209,000 mi",Diesel,2.0,Ireland,UK,4.0,"€6,750"
1401,1473,Renault,Kadjar,2015,"76,572 mi",Diesel,1.6,Northern Ireland,No,3.0,"€14,250"
1402,1474,Honda,Jazz,2006,"90,370 mi",Petrol,1.3,Ireland,N. Ireland,4.0,"€1,650"
1403,1475,Hyundai,Tucson,2019,"74,916 km",Diesel,1.6,Ireland,No,3.0,"€25,950"
1404,1476,BMW,2-Series,2018,"20,355 km",Diesel,1.5,Ireland,No,2.0,"€23,950"
1405,1477,Volkswagen,Passat,2017,"162,000 mi",Diesel,1.6,Ireland,UK,1.0,"€10,750"
1406,1478,Hyundai,i10,2015,"127,000 km",Petrol,1.0,Ireland,No,3.0,"€6,750"
1407,1480,Renault,Megane,2017,"157,668 km",Diesel,1.5,Ireland,No,3.0,"€13,890"
1408,1481,Citroen,C4,2010,"204,000 km",Diesel,1.6,Ireland,UK,4.0,"€2,999"
1409,1482,BMW,5-Series,2017,"177,000 km",Diesel,2.0,Northern Ireland,No,1.0,"€29,995"
1410,1483,Volkswagen,T-Roc,2018,"67,000 km",Petrol,1.0,Ireland,No,2.0,"€22,495"
