,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
58,63,Mini,Countryman,2013,"250,000 km",Petrol,1.6,Ireland,Unknown country,2.0,"€6,950"
59,64,Toyota,Prius,2013,"320,000 km",Petrol Hybrid,1.8,Ireland,Unknown country,3.0,"€7,200"
60,65,Volkswagen,Golf,2023,"20,379 km",Petrol,1.0,Ireland,No,1.0,"€35,495"
61,66,Nissan,Leaf,2020,"72,207 km",Electric,1.6,United Kingdom,No,1.0,"€24,900"
62,67,BMW,X5,2021,"71,000 km",Petrol Plug-in Hybrid,3.0,Ireland,No,1.0,"€89,995"
63,68,Renault,Captur,2016,"79,717 mi",Diesel,1.5,United Kingdom,No,3.0,"£7,350"
64,69,Mazda,3,2013,"307,000 km",Diesel,1.6,Ireland,No,2.0,"€4,800"
65,70,Volvo,S80,2011,"161,000 mi",Diesel,2.0,Ireland,No,4.0,"€5,000"
66,71,Volkswagen,Golf,2017,"96,000 mi",Diesel,2.0,Ireland,UK,1.0,"€17,500"
67,72,Land Rover,Discovery Sport,2019,"100,000 km",Diesel,2.0,Ireland,No,2.0,"€43,950"
68,73,Volkswagen,Up!,2019,"20,500 km",Petrol,1.0,Ireland,Unknown country,2.0,"€12,500"
69,74,Ford,Focus,2010,"333,000 km",Diesel,1.6,Ireland,No,4.0,"€3,250"
70,75,Ford,Fiesta,2011,"58,200 km",Petrol,1.2,Ireland,No,2.0,"€6,975"
71,76,Renault,Clio,2013,"149,400 km",Petrol,1.1,Ireland,No,4.0,"€6,495"
72,77,Hyundai,i30,2010,"261,351 km",Diesel,1.6,Ireland,No,4.0,"€2,500"
73,78,BMW,1-Series,2012,"158,000 mi",Petrol,1.6,Ireland,No,2.0,"€8,450"
74,80,Volkswagen,Golf,2006,"161,000 mi",Diesel,2.0,Ireland,N. Ireland,9.0,"€4,950"
75,81,Vauxhall,Zafira,2014,"125,276 mi",Diesel,2.0,Ireland,N. Ireland,1.0,"€6,750"
76,82,Peugeot,5008,2016,"170,000 km",Diesel,2.0,Ireland,UK,3.0,"€11,999"
77,83,Volkswagen,Polo,2019,"1,795 mi",Petrol,1.0,Ireland,No,2.0,"€19,950"
78,84,Mercedes-Benz,CLA-Class,2022,"56,500 km",Diesel,2.0,Ireland,No,1.0,"€42,950"
79,86,Volkswagen,Polo,2018,"64,647 km",Petrol,1.0,Ireland,No,2.0,"€16,950"
80,87,Honda,Civic,2015,"260,000 km",Diesel,1.6,Ireland,UK,2.0,"€9,995"
81,88,Nissan,Qashqai,2007,"175,000 km",Diesel,1.5,Ireland,No,3.0,"€2,250"
82,89,Honda,Jazz,2016,"55,000 mi",Petrol,1.5,Ireland,No,1.0,"€10,750"
83,90,Skoda,Octavia,2020,"51,500 km",Diesel,1.6,Ireland,No,2.0,"€25,950"
