index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
103,Nissan,Leaf,2018,135000,Electric,1.6,Ireland,No,2.0,12900
104,Volkswagen,Polo,2023,5000,Petrol,1.0,Ireland,No,2.0,27900
105,Nissan,Micra,2019,70745,Petrol,1.0,Ireland,No,1.0,12950
106,Volkswagen,Golf,2016,158161,Diesel,1.6,Ireland,No,3.0,7950
107,Volkswagen,Polo,2014,79967,Petrol,1.2,Ireland,Unknown,1.0,11999
108,Volkswagen,Passat,2014,232161,Diesel,1.6,Ireland,UK,3.0,7450
109,Skoda,Octavia,2022,51850,Petrol Plug-in Hybrid,1.4,Ireland,No,1.0,29995
110,Hyundai,i40,2016,200000,Diesel,1.7,Ireland,No,1.0,8950
111,Hyundai,i40,2019,80444,Diesel,1.6,Ireland,No,2.0,21900
112,Audi,A6,2011,280000,Diesel,3.0,Ireland,UK,4.0,9000
113,Audi,A4,2019,139414,Diesel,2.0,Ireland,No,1.0,26950
114,Ford,Fiesta,2009,245000,Petrol,1.2,Ireland,No,5.0,3350
115,Kia,Sportage,2021,53000,Diesel Hybrid,1.6,Ireland,No,1.0,34400
116,Ford,S-MAX,2015,155357,Diesel,2.0,Ireland,UK,1.0,12950
117,Honda,VEZEL,2020,25670,Hybrid,1.5,Ireland,No,2.0,27950
118,Volvo,XC40,2018,48431,Diesel,1.5,Ireland,N. Ireland,1.0,35000
119,Ford,Edge,2016,143201,Diesel,2.0,Ireland,UK,2.0,26
120,Lexus,ES,2020,91465,Petrol Hybrid,2.5,Ireland,No,1.0,34900
121,Audi,Q5,2024,19,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,73375
122,Volkswagen,Golf,2010,376506,Diesel,1.6,Ireland,N. Ireland,6.0,3250
123,BMW,5-Series,2004,217215,Petrol,2.2,Ireland,No,4.0,2950
124,Audi,A4,2010,349153,Diesel,2.0,Ireland,No,7.0,5200
125,Skoda,Karoq,2020,54793,Diesel,1.6,Ireland,No,1.0,27900
126,Jaguar,XF,2011,141592,Petrol,2.9,Ireland,Unknown country,2.0,6950
127,Skoda,SCALA,2024,0,Petrol,1.0,Ireland,No,2.0,35695
128,Toyota,Corolla,2008,260000,Petrol,1.6,Ireland,No,3.0,2450
129,Peugeot,3008,2022,18000,Diesel,1.5,Ireland,No,2.0,37950
131,Kia,Niro,2021,30571,Petrol Hybrid,1.6,Northern Ireland,No,1.0,27950
132,Toyota,Celica,2005,178500,Petrol,1.8,Ireland,Unknown country,3.0,4400
133,Volvo,XC60,2016,123000,Diesel,2.0,Ireland,UK,1.0,20950
134,BMW,5-Series,2020,74014,Diesel,2.0,United Kingdom,No,1.0,43900
135,Peugeot,407,2008,183000,Petrol,1.7,Ireland,No,10.0,2000
136,MG,MG5 SW EV,2022,36933,Electric,1.6,Ireland,No,1.0,26995
137,Mercedes-Benz,A-Class,2013,95092,Petrol,1.6,Ireland,No,1.0,15899
138,Volkswagen,Passat,2020,85676,Diesel,2.0,Ireland,No,1.0,27950
139,Volkswagen,Golf,2011,151000,Diesel,1.6,Ireland,No,2.0,7750
140,Nissan,Qashqai,2012,192205,Diesel,1.6,Ireland,No,3.0,5950
141,Peugeot,2008,2022,32726,Petrol,1.2,Ireland,No,1.0,26950
142,Ford,Fiesta,2015,122968,Petrol,1.2,Northern Ireland,No,2.0,9895
143,BMW,3-Series,2021,33082,Diesel,2.0,Ireland,No,2.0,41950
144,Volkswagen,Polo,2016,27964,Petrol,1.2,Ireland,No,1.0,15750
145,Kia,Stonic,2021,19000,Petrol,1.0,Ireland,No,1.0,21950
146,Land Rover,Defender,2020,129500,Diesel,2.0,Ireland,No,1.0,79950
147,BMW,5-Series,2024,25,Diesel,2.0,Ireland,No,2.0,81010
148,Volkswagen,Golf,2017,87000,Petrol,1.2,Other,No,1.0,17995
149,Toyota,Auris,2014,123934,Petrol,1.3,Ireland,UK,1.0,9700
150,Toyota,Corolla,2016,85000,Petrol,1.3,Ireland,No,2.0,14995
151,Volkswagen,Polo,2016,28962,Petrol,1.2,Ireland,No,1.0,13900
152,Toyota,C-HR,2022,48000,Hybrid,1.8,Ireland,No,1.0,33495
153,BMW,5-Series,2009,279966,Diesel,2.0,Ireland,No,2.0,7000
154,Mercedes-Benz,GLC-Class,2022,44879,Diesel Plug-in Hybrid,2.0,Ireland,No,1.0,66895
155,Renault,Megane,2012,190000,Diesel,1.5,Ireland,No,7.0,2250
156,Audi,A3,2015,208973,Diesel,1.6,Ireland,UK,1.0,15950
157,Peugeot,5008,2018,115365,Diesel,1.6,Ireland,No,2.0,30995
158,BMW,X5,2020,88000,Diesel,3.0,Ireland,No,3.0,75000
160,Nissan,X-Trail,2020,62500,Diesel,1.7,Ireland,No,2.0,33500
161,Nissan,Qashqai+2,2013,235221,Diesel,1.5,Ireland,No,3.0,8995
162,BMW,5-Series,2024,15,Diesel,2.0,Ireland,No,2.0,74413
163,Volkswagen,Golf,2012,249395,Diesel,1.6,Ireland,UK,3.0,6495
164,BMW,5-Series,2020,89000,Diesel,2.0,Ireland,UK,1.0,39950
165,Nissan,Note,2017,112630,Petrol Hybrid,1.2,Ireland,Unknown country,1.0,11300
166,BMW,5-Series,2021,27158,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,52000
167,Hyundai,ix35,2011,213997,Diesel,1.7,Ireland,N. Ireland,3.0,6200
168,Mercedes-Benz,CLS-Class,2019,65702,Diesel,2.0,Ireland,No,1.0,48950
169,Infiniti,Q50,2016,83000,Diesel,2.1,Ireland,N. Ireland,1.0,17900
170,BMW,3-Series,2008,164118,Petrol,2.0,Ireland,No,3.0,6950
171,Vauxhall,Insignia,2015,225260,Diesel,2.0,Ireland,UK,3.0,4500
172,Volkswagen,T-Roc,2021,91940,Diesel,2.0,Ireland,No,2.0,24950
173,Tesla,MODEL 3,2021,79000,Electric,1.6,Ireland,No,2.0,37950
174,Audi,A3,2015,75575,Petrol,1.4,Ireland,No,2.0,16450
175,BMW,M2,2017,75999,Petrol,3.0,Ireland,No,3.0,49995
176,Volkswagen,ID.3,2021,59000,Electric,1.6,Ireland,No,1.0,22000
178,Porsche,Cayenne,2020,83346,Petrol Plug-in Hybrid,3.0,Ireland,UK,1.0,74950
179,Ford,Focus,2008,263876,Petrol,1.4,Ireland,No,4.0,2400
180,Nissan,Leaf,2018,87690,Electric,1.6,Ireland,UK,3.0,14995
181,Opel,Astra,2016,94648,Diesel,1.6,Ireland,No,2.0,1
182,Toyota,RAV4,2021,43556,Hybrid,2.5,Ireland,No,1.0,42000
183,Ford,Focus,2023,22000,Petrol,1.0,Ireland,No,1.0,35950
184,Volkswagen,Golf,2014,213455,Diesel,1.6,Ireland,UK,2.0,8780
185,Fiat,500,2015,95300,Petrol,1.2,Ireland,Unknown country,2.0,11750
186,Nissan,Juke,2013,168945,Diesel,1.5,Ireland,UK,2.0,8450
188,Land Rover,Range Rover Sport,2020,89190,Diesel,3.0,Ireland,No,3.0,74950
189,Land Rover,Range Rover Sport,2024,161,Petrol Plug-in Hybrid,3.0,Ireland,Unknown,0.0,129268
190,Skoda,Yeti,2016,161000,Diesel,2.0,Ireland,No,2.0,15850
191,Hyundai,Tucson,2021,69987,Diesel,1.6,Ireland,No,2.0,30555
192,Mazda,3,2010,171219,Diesel,1.6,Ireland,No,5.0,5995
193,Mitsubishi,Lancer,2003,160900,Petrol,2.0,Ireland,Unknown country,0.0,29995
194,BMW,5-Series,2021,73597,Petrol Plug-in Hybrid,2.0,Ireland,No,1.0,40875
195,Ford,Fiesta,2008,83671,Petrol,1.2,Ireland,No,4.0,3000
196,Renault,Grand Scenic,2010,299274,Diesel,1.5,Ireland,UK,12.0,1950
197,Volkswagen,Passat,2014,234494,Diesel,1.6,Ireland,No,2.0,9995
198,BMW,5-Series,2009,305710,Diesel,2.0,Ireland,UK,1.0,4650
199,BMW,3-Series,2016,123000,Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,20750
200,Nissan,Note,2017,114096,Hybrid,1.2,Ireland,No,1.0,11995
201,Vauxhall,Mokka,2023,9095,Electric,1.6,Northern Ireland,No,1.0,28950
202,Land Rover,Discovery,2018,126306,Diesel,3.0,Ireland,No,2.0,32520
203,Skoda,Superb,2019,220000,Diesel,2.0,Ireland,No,1.0,17950
204,Ford,S-MAX,2016,181967,Diesel,2.0,Ireland,UK,1.0,19950
205,Nissan,Qashqai,2020,49984,Petrol,1.3,Ireland,No,1.0,24450
206,Ford,Focus,2015,158540,Diesel,2.0,Ireland,No,3.0,12950
207,Mercedes-Benz,E-Class,2010,127000,Diesel,2.1,Ireland,No,4.0,9999
208,Audi,A3,2015,58085,Petrol,1.4,Ireland,No,1.0,17899
209,Ford,Focus,2017,120675,Diesel,1.5,Ireland,UK,1.0,16000
210,Nissan,Qashqai,2010,223826,Petrol,1.6,Ireland,No,3.0,3500
211,BMW,5-Series,2019,108439,Diesel,2.0,Ireland,No,2.0,37400
212,Nissan,Note,2017,67367,Hybrid,1.2,Ireland,No,2.0,13950
213,Toyota,Corolla,2021,46800,Hybrid,1.8,Ireland,No,1.0,27950
214,Volvo,XC90,2014,223008,Diesel,2.4,Ireland,No,3.0,15995
215,SEAT,Ateca,2020,88495,Diesel,2.0,Northern Ireland,No,1.0,30950
216,Nissan,Qashqai,2015,130000,Diesel,1.5,Ireland,No,3.0,10995
217,Kia,Ceed,2015,225000,Diesel,1.4,Ireland,No,2.0,10950
218,Volkswagen,Golf,2012,210000,Diesel,1.6,Ireland,No,4.0,5850
219,Jaguar,X-Type,2008,128559,Diesel,2.2,Ireland,No,4.0,3600
220,Honda,CR-V,2018,81796,Diesel,1.6,Ireland,Unknown,2.0,19950
222,Volkswagen,Golf,2019,40000,Electric,1.6,Ireland,No,2.0,17995
223,Ford,Galaxy,2011,200000,Diesel,2.0,Ireland,No,3.0,5500
225,Mitsubishi,Mirage,2018,48270,Petrol,1.2,Ireland,Unknown,1.0,10999
226,BMW,2-Series,2023,5526,Petrol,1.5,Ireland,No,2.0,40950
227,Skoda,Octavia,2021,45000,Diesel,2.0,Ireland,No,1.0,41995
228,Hyundai,i10,2023,1164,Petrol,1.0,Ireland,No,1.0,21350
230,Toyota,RAV4,2018,106848,Petrol Hybrid,2.5,Ireland,No,2.0,25900
231,Volkswagen,Golf,2014,42000,Petrol,1.2,Ireland,Unknown,1.0,13450
232,Toyota,Prius,2017,126376,Petrol Hybrid,1.8,Ireland,Unknown country,1.0,16650
233,BMW,3-Series,2016,63687,Petrol Plug-in Hybrid,2.0,Ireland,UK,1.0,20900
234,Volvo,XC40,2020,150726,Diesel,2.0,Ireland,No,2.0,32950
235,Volkswagen,Tiguan,2015,173472,Diesel,2.0,Ireland,No,3.0,13500
236,Mazda,CX-60,2023,15118,Petrol Plug-in Hybrid,2.5,Ireland,No,2.0,55900
237,Toyota,Corolla,2021,83000,Petrol Hybrid,1.8,Ireland,No,1.0,25995
238,Volkswagen,T-CROSS,2022,55780,Petrol,1.0,Ireland,No,1.0,22600
239,Audi,TT,2004,245372,Petrol,1.8,Ireland,No,2.0,3950
240,Kia,Stonic,2019,67000,Petrol,1.4,Ireland,No,1.0,18900
241,BMW,3-Series,2023,5494,Petrol Plug-in Hybrid,2.0,Ireland,No,2.0,59950
242,Citroen,C4,2015,240000,Diesel,1.6,Ireland,No,2.0,8950
243,Toyota,Auris,2014,96982,Diesel,1.4,Ireland,No,3.0,12500
244,SEAT,Leon,2015,196360,Diesel,1.6,Ireland,No,1.0,11950
245,Porsche,TAYCAN,2021,26500,Electric,1.6,Ireland,No,2.0,95950
246,Renault,Captur,2022,19779,Petrol,1.0,Ireland,No,1.0,25900
247,BMW,5-Series,2015,244568,Diesel,2.0,Ireland,No,4.0,13750
248,Skoda,Fabia,2017,114535,Petrol,1.0,Ireland,Unknown,1.0,9970
249,Volkswagen,Golf,2024,4,Petrol,2.0,Ireland,No,2.0,58880
250,BMW,5-Series,2019,96213,Petrol Hybrid,2.0,Ireland,No,1.0,34950
251,Mazda,6,2013,300000,Diesel,2.2,Ireland,UK,4.0,2500
252,Opel,Astra,2015,100000,Diesel,1.6,Ireland,No,3.0,10950
253,Ford,Focus,2008,255831,Diesel,1.8,Ireland,UK,5.0,2550
254,Opel,Crossland X,2022,26000,Diesel,1.5,Ireland,No,1.0,25500
255,Toyota,Corolla,2006,241350,Petrol,1.4,Ireland,No,3.0,1150
256,BMW,5-Series,2015,236000,Diesel,2.0,Ireland,No,2.0,12950
257,Nissan,Qashqai,2012,260000,Diesel,1.5,Ireland,No,6.0,7500
258,Nissan,Note,2019,53597,Petrol,1.2,Ireland,No,1.0,13900
259,Audi,A5,2018,184500,Diesel,2.0,Ireland,No,1.0,24950
260,Toyota,Yaris,2023,27701,Hybrid,1.5,Ireland,No,1.0,26450
261,Mitsubishi,Outlander,2017,101367,Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,22940
262,BMW,X5,2018,120000,Diesel,2.0,Ireland,No,3.0,46000
263,Mercedes-Benz,GLB Class,2022,46247,Diesel,2.0,Ireland,No,1.0,52950
264,Toyota,Yaris,2021,45829,Hybrid,1.5,Ireland,No,1.0,22950
265,Honda,Shuttle,2015,106186,Petrol Hybrid,1.5,Ireland,Unknown country,0.0,12750
266,Toyota,Avensis,2016,247059,Diesel,2.0,Ireland,UK,1.0,1
267,Ford,Fiesta,2015,82059,Petrol,1.0,Northern Ireland,No,2.0,10450
268,Fiat,Panda,2011,107000,Petrol,1.2,Ireland,No,3.0,3000
269,Ford,Focus,2012,136174,Petrol,1.0,Ireland,N. Ireland,1.0,8450
270,Ford,Mondeo,2012,328500,Diesel,1.6,Ireland,No,1.0,5000
271,Volkswagen,Golf,2013,172000,Diesel,2.0,Ireland,No,4.0,10950
272,Lexus,CT,2012,125000,Petrol Hybrid,1.8,Ireland,No,3.0,10995
273,Toyota,Auris,2011,245155,Diesel,1.4,Ireland,No,10.0,5950
274,Mercedes-Benz,C-Class,2007,370000,Diesel,2.1,Ireland,No,20.0,2500
275,BMW,3-Series,2017,225260,Diesel,2.0,Ireland,No,3.0,13995
276,Nissan,X-Trail,2017,162087,Diesel,1.6,Ireland,UK,1.0,18950
277,Audi,A6,2018,240000,Diesel,2.0,Ireland,UK,2.0,32000
278,Nissan,X-Trail,2015,216000,Diesel,1.6,Ireland,UK,2.0,13450
279,Toyota,RAV4,2020,34673,Petrol Hybrid,2.5,Ireland,No,1.0,38995
280,Land Rover,Range Rover Evoque,2015,149000,Diesel,2.2,Ireland,UK,1.0,19950
281,Mercedes-Benz,A-Class,2015,59094,Petrol,1.6,Ireland,No,2.0,17450
282,Kia,Ceed,2015,139447,Diesel,1.6,Ireland,No,1.0,10995
283,Ford,Focus,2020,59999,Petrol,1.0,Ireland,No,1.0,28950
284,Mini,Cooper,2015,182541,Diesel,1.6,Ireland,No,2.0,12950
285,Citroen,C4,2012,278893,Diesel,1.6,Ireland,No,3.0,3575
286,BMW,2-Series,2021,36725,Petrol,1.5,Ireland,No,2.0,31950
287,Audi,A4,2017,240000,Diesel,2.0,Ireland,UK,1.0,20950
288,Volvo,V40,2015,180000,Diesel,2.0,Ireland,UK,1.0,12950
289,Honda,Civic,2019,104000,Diesel,1.6,Ireland,No,2.0,19200
290,Suzuki,Vitara,2020,50155,Petrol,1.4,Ireland,No,2.0,21900
291,Skoda,Octavia,2017,51000,Diesel,2.0,Ireland,No,1.0,25950
292,Toyota,C-HR,2017,131938,Hybrid,1.8,Ireland,Unknown,1.0,18950
293,Volkswagen,Polo,2015,228809,Diesel,1.4,Ireland,N. Ireland,2.0,9750
294,Volkswagen,Golf,2014,202895,Diesel,1.6,Ireland,UK,2.0,12995
295,Hyundai,Tucson,2018,288011,Diesel,1.7,Ireland,No,2.0,17900
296,Hyundai,i10,2016,35532,Petrol,1.2,Ireland,UK,1.0,11950
297,Mercedes-Benz,Sprinter,2016,225260,Diesel,2.1,United Kingdom,No,2.0,16950
298,BMW,iX,2024,501,Electric,1.6,Ireland,No,2.0,144950
299,Volkswagen,Passat,2020,44000,Diesel,2.0,Ireland,No,3.0,28995
300,Hyundai,Tucson,2021,40634,Petrol Hybrid,1.6,Ireland,No,3.0,36950
301,MAXUS,MIFA 9,2024,0,Electric,1.6,Ireland,Unknown,0.0,79950
302,BMW,1-Series,2018,129000,Petrol,1.6,Ireland,No,2.0,17950
303,Nissan,March,2016,69000,Petrol,1.2,Ireland,No,2.0,9950
304,Honda,Fit,2018,83000,Petrol Hybrid,1.5,Ireland,No,1.0,14750
305,Mercedes-Benz,GLA-Class,2020,31000,Petrol,1.3,Ireland,No,1.0,39950
306,Opel,Zafira,2017,130212,Diesel,1.6,Ireland,No,2.0,13900
307,Skoda,Fabia,2022,18204,Petrol,1.0,Ireland,No,2.0,22995
308,Volkswagen,Touran,2020,87000,Diesel,2.0,Ireland,No,2.0,1
310,Peugeot,5008,2022,43443,Diesel,1.5,Northern Ireland,No,1.0,39950
311,Toyota,Landcruiser,2021,98950,Diesel,2.8,Ireland,No,1.0,59950
312,BMW,3-Series,2019,89685,Diesel,2.0,Ireland,UK,2.0,33950
313,Kia,Optima,2018,193300,Diesel,1.7,Ireland,No,1.0,15450
314,Toyota,Auris,2014,116999,Petrol,1.3,Ireland,No,4.0,10450
315,Hyundai,Tucson,2017,136000,Diesel,1.7,Ireland,No,2.0,16499
316,Toyota,Yaris,2005,79000,Petrol,1.0,Ireland,No,4.0,1950
317,Land Rover,Range Rover Evoque,2018,114500,Diesel,2.0,Ireland,UK,2.0,33750
318,Hyundai,Tucson,2017,204999,Diesel,1.7,Ireland,No,2.0,15895
319,Toyota,Prius,2014,109195,Hybrid,1.8,Ireland,Unknown country,1.0,14950
320,Renault,Fluence,2013,134717,Diesel,1.5,Ireland,No,2.0,7850
321,BMW,3-Series,2020,143201,Diesel,2.0,Ireland,No,1.0,30950
322,Toyota,Prius,2015,140000,Petrol Hybrid,1.8,Ireland,Unknown country,2.0,11750
323,Volkswagen,Taigo,2022,30855,Petrol,1.0,Ireland,No,1.0,22400
324,Renault,Megane,2017,104981,Petrol,1.6,Ireland,No,5.0,18950
325,Nissan,X-Trail,2017,213332,Diesel,1.6,Ireland,No,1.0,17950
326,Volkswagen,Polo,2014,178599,Petrol,1.2,Ireland,UK,2.0,8750
327,Mercedes-Benz,CLE-Class,2024,10,Diesel,2.0,Ireland,No,2.0,79950
329,Mercedes-Benz,GLE-Class,2020,46980,Diesel,2.0,Ireland,No,3.0,74950
330,BMW,2-Series,2021,17914,Petrol,1.5,Ireland,No,2.0,34950
331,Volkswagen,Golf,2016,111021,Diesel,2.0,Ireland,N. Ireland,2.0,19700
332,Opel,Corsa,2023,11000,Petrol,1.2,Ireland,No,1.0,24950
333,BMW,3-Series,2017,131998,Petrol Hybrid,2.0,Other,No,1.0,19995
334,Toyota,Camry,2019,94000,Petrol Hybrid,2.4,Ireland,Unknown,3.0,29950
335,Mercedes-Benz,GLC-Class,2021,31550,Diesel Plug-in Hybrid,2.0,United Kingdom,No,2.0,55950
336,Mazda,CX-5,2021,47992,Diesel,2.2,Ireland,No,2.0,36945
337,Audi,A6,2012,182000,Diesel,2.0,Ireland,No,3.0,10950
338,Land Rover,Discovery,2015,298,Diesel,3.0,Ireland,No,2.0,21950
339,BMW,5-Series,2013,168334,Diesel,2.0,Ireland,No,3.0,15950
